task,base_accuracy,sft_accuracy,accuracy_delta,base_centered,sft_centered,centered_delta
hellaswag_zeroshot,0.557459,0.489843,-0.067616,0.409945,0.319790,-0.090155
jeopardy,0.102031,0.055739,-0.046292,0.102031,0.055739,-0.046292
bigbench_qa_wikidata,0.462428,0.364647,-0.097781,0.462428,0.364647,-0.097781
arc_easy,0.688552,0.656987,-0.031565,0.584736,0.542649,-0.042087
arc_challenge,0.385666,0.359215,-0.026451,0.180887,0.145620,-0.035267
copa,0.680000,0.610000,-0.070000,0.360000,0.220000,-0.140000
commonsense_qa,0.264537,0.295659,0.031122,0.080672,0.119574,0.038902
piqa,0.745375,0.711643,-0.033732,0.490751,0.423286,-0.067465
openbook_qa,0.400000,0.360000,-0.040000,0.200000,0.146667,-0.053333
lambada_openai,0.442461,0.411023,-0.031438,0.442461,0.411023,-0.031438
hellaswag,0.561243,0.478789,-0.082454,0.414990,0.305052,-0.109938
winograd,0.688645,0.659341,-0.029304,0.377289,0.318681,-0.058608
winogrande,0.557222,0.550118,-0.007104,0.114444,0.100237,-0.014207
bigbench_dyck_languages,0.147000,0.131000,-0.016000,0.147000,0.131000,-0.016000
agi_eval_lsat_ar,0.260870,0.260870,0.000000,0.076087,0.076087,0.000000
bigbench_cs_algorithms,0.393182,0.454545,0.061363,0.393182,0.454545,0.061363
bigbench_operators,0.185714,0.195238,0.009524,0.185714,0.195238,0.009524
bigbench_repeat_copy_logic,0.031250,0.000000,-0.031250,0.031250,0.000000,-0.031250
squad,0.424503,0.357900,-0.066603,0.424503,0.357900,-0.066603
coqa,0.313667,0.319930,0.006263,0.313667,0.319930,0.006263
boolq,0.526911,0.548930,0.022019,-0.244970,-0.187027,0.057943
bigbench_language_identification,0.247400,0.251900,0.004500,0.172057,0.177008,0.004951
CORE,,,,0.259960,0.227166,-0.032794
